device = cuda
=== DeepLDA with D=150 ===
[93] train loss=-472.7060 acc=0.8935 | test acc=0.6450
[94] train loss=-473.8446 acc=0.8944 | test acc=0.6388
[95] train loss=-474.2779 acc=0.8951 | test acc=0.6423
[96] train loss=-474.2350 acc=0.8957 | test acc=0.6423
[97] train loss=-475.3908 acc=0.8955 | test acc=0.6432
[98] train loss=-476.4327 acc=0.8981 | test acc=0.6375
[99] train loss=-477.3397 acc=0.8979 | test acc=0.6392
[100] train loss=-476.9762 acc=0.8975 | test acc=0.6436
=== DeepLDA with D=350 ===
[01] train loss=-2.4681 acc=0.0587 | test acc=0.0950
[02] train loss=-35.1087 acc=0.1433 | test acc=0.1592
[03] train loss=-67.0520 acc=0.2057 | test acc=0.2161
[04] train loss=-98.5629 acc=0.2731 | test acc=0.2349
[05] train loss=-129.6425 acc=0.3268 | test acc=0.2758
[06] train loss=-160.1645 acc=0.3784 | test acc=0.3456
[07] train loss=-189.9455 acc=0.4274 | test acc=0.3978
[08] train loss=-218.9272 acc=0.4712 | test acc=0.4130
[09] train loss=-246.9233 acc=0.5064 | test acc=0.4655
[10] train loss=-273.8527 acc=0.5348 | test acc=0.4687
[11] train loss=-299.4895 acc=0.5575 | test acc=0.4933
[12] train loss=-323.7890 acc=0.5802 | test acc=0.5191
[13] train loss=-346.4097 acc=0.6010 | test acc=0.5069
[14] train loss=-367.2468 acc=0.6159 | test acc=0.5455
[15] train loss=-385.9174 acc=0.6284 | test acc=0.5664
[16] train loss=-403.1984 acc=0.6444 | test acc=0.5714
[17] train loss=-418.1815 acc=0.6596 | test acc=0.5790
[18] train loss=-430.7602 acc=0.6694 | test acc=0.5823
[19] train loss=-441.6683 acc=0.6813 | test acc=0.5971
[20] train loss=-450.7925 acc=0.6913 | test acc=0.6073
[21] train loss=-458.5498 acc=0.7035 | test acc=0.6118
[22] train loss=-464.5669 acc=0.7120 | test acc=0.6129
[23] train loss=-470.4021 acc=0.7215 | test acc=0.6274
[24] train loss=-474.9408 acc=0.7296 | test acc=0.6159
[25] train loss=-478.3963 acc=0.7345 | test acc=0.6172
[26] train loss=-482.7469 acc=0.7450 | test acc=0.6212
[27] train loss=-486.2492 acc=0.7522 | test acc=0.6232
[28] train loss=-489.9342 acc=0.7581 | test acc=0.6033
[29] train loss=-492.2853 acc=0.7626 | test acc=0.6331
[30] train loss=-495.3645 acc=0.7678 | test acc=0.6383
[31] train loss=-498.1262 acc=0.7736 | test acc=0.6285
[32] train loss=-500.4860 acc=0.7789 | test acc=0.6390
[33] train loss=-503.1625 acc=0.7831 | test acc=0.6475
[34] train loss=-505.8438 acc=0.7900 | test acc=0.6350
[35] train loss=-507.6916 acc=0.7921 | test acc=0.6315
[36] train loss=-510.1362 acc=0.7974 | test acc=0.6414
[37] train loss=-511.5535 acc=0.7985 | test acc=0.6473
[38] train loss=-514.0287 acc=0.8023 | test acc=0.6411
[39] train loss=-516.2432 acc=0.8082 | test acc=0.6480
[40] train loss=-518.2104 acc=0.8112 | test acc=0.6428
[41] train loss=-519.9997 acc=0.8125 | test acc=0.6477
[42] train loss=-522.5867 acc=0.8170 | test acc=0.6394
[43] train loss=-524.3746 acc=0.8212 | test acc=0.6431
[44] train loss=-525.1357 acc=0.8224 | test acc=0.6421
[45] train loss=-527.4222 acc=0.8267 | test acc=0.6412
